,Player,Age,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,STL,BLK
0,Stephen Curry,26.0,6,255,54,122,25,65,23,26,5,26,31,38,11,1,28,13,156,0.443,0.385,0.885,42.5,26.0,5.2,6.3,1.8,0.2
1,Andre Iguodala,31.0,6,222,37,71,14,35,10,28,6,29,35,24,8,2,6,18,98,0.521,0.4,0.357,37.0,16.3,5.8,4.0,1.3,0.3
2,Klay Thompson,24.0,6,227,36,88,12,40,11,12,2,24,26,10,3,6,5,20,95,0.409,0.3,0.917,37.8,15.8,4.3,1.7,0.5,1.0
3,Draymond Green,24.0,6,222,24,63,5,19,25,34,8,42,50,30,13,7,13,28,78,0.381,0.263,0.735,37.0,13.0,8.3,5.0,2.2,1.2
4,Harrison Barnes,22.0,6,198,19,51,8,19,7,9,18,17,35,5,5,3,4,17,53,0.373,0.421,0.778,33.0,8.8,5.8,0.8,0.8,0.5
5,Leandro Barbosa,32.0,6,64,12,26,3,7,4,4,2,8,10,3,3,1,4,7,31,0.462,0.429,1.0,10.7,5.2,1.7,0.5,0.5,0.2
6,Shaun Livingston,29.0,6,120,12,25,0,1,6,8,5,16,21,13,2,2,6,11,30,0.48,0.0,0.75,20.0,5.0,3.5,2.2,0.3,0.3
7,Festus Ezeli,25.0,5,50,7,15,0,0,8,11,7,10,17,2,0,3,4,9,22,0.467,,0.727,10.0,4.4,3.4,0.4,0.0,0.6
8,David Lee,31.0,4,39,8,15,0,0,6,11,2,8,10,6,1,0,1,8,22,0.533,,0.545,9.8,5.5,2.5,1.5,0.3,0.0
9,Andrew Bogut,30.0,4,74,4,9,0,0,2,4,5,19,24,6,1,5,4,11,10,0.444,,0.5,18.5,2.5,6.0,1.5,0.3,1.3
10,Marreese Speights,27.0,3,16,4,13,0,0,1,2,3,2,5,1,1,0,1,3,9,0.308,,0.5,5.3,3.0,1.7,0.3,0.3,0.0
11,Justin Holiday,25.0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
12,James Michael McAdoo,22.0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,,,,1.0,0.0,1.0,0.0,0.0,0.0
13,Team Totals,,6,1490,217,498,67,186,103,149,63,202,265,138,48,30,76,145,604,0.436,0.36,0.691,248.3,100.7,44.2,23.0,8.0,5.0
